ID;NU_NOTA_LC
0;503.0
1;625.1
2;534.7
3;371.1
4;585.8
5;579.9
6;478.1
7;492.8
8;532.1
9;669.2
10;579.3
11;592.4
12;421.7
13;520.4
14;532.7
15;479.5
16;601.5
17;600.5
18;605.8
19;518.8
20;532.4
21;604.4
22;571.8
23;444.6
24;410.3
25;480.8
26;407.9
27;554.5
28;455.3
29;448.0
30;500.4
31;711.7
32;548.5
33;550.9
34;550.7
35;394.3
36;428.8
37;473.8
38;501.5
39;386.8
40;456.9
41;528.3
42;554.6
43;472.8
44;666.8
45;405.7
46;442.7
47;465.5
48;461.7
49;539.7
50;496.1
51;468.7
52;579.3
53;541.5
54;553.4
55;555.9
56;445.7
57;613.1
58;577.2
59;575.4
60;504.8
61;422.8
62;401.6
63;523.5
64;563.1
65;511.3
66;522.0
67;435.1
68;464.0
69;610.3
70;559.7
71;587.8
72;534.3
73;504.8
74;589.4
75;531.3
76;529.2
77;554.7
78;524.2
79;572.9
80;562.9
81;579.4
82;496.2
83;506.7
84;414.8
85;512.4
86;561.0
87;406.4
88;472.3
89;412.9
90;414.3
91;580.1
92;536.7
93;501.6
94;600.9
95;599.7
96;481.8
97;471.9
98;526.2
99;492.4
100;676.7
101;539.2
102;560.8
103;590.0
104;492.8
105;640.8
106;625.5
107;677.4
108;458.3
109;633.3
110;542.5
111;465.9
112;534.2
113;611.0
114;514.1
115;543.3
116;438.4
117;496.9
118;570.8
119;572.2
120;569.2
121;414.1
122;564.2
123;621.8
124;435.0
125;567.9
126;388.0
127;486.2
128;552.6
129;432.2
130;555.0
131;436.7
132;601.2
133;475.1
134;483.6
135;501.2
136;686.3
137;569.9
138;394.3
139;478.3
140;512.9
141;532.0
142;495.8
143;522.0
144;554.4
145;641.5
146;624.1
147;535.5
148;498.2
149;632.8
150;611.8
151;542.5
152;613.7
153;543.1
154;549.0
155;506.6
156;352.9
157;531.4
158;452.2
159;640.0
160;605.3
161;578.8
162;526.2
163;487.8
164;490.2
165;523.0
166;602.0
167;483.0
168;539.3
169;618.1
170;681.4
171;448.0
172;605.5
173;505.2
174;596.6
175;545.6
176;604.3
177;450.3
178;552.0
179;577.2
180;429.7
181;412.3
182;526.4
183;543.6
184;485.5
185;613.7
186;512.3
187;649.2
188;447.1
189;509.8
190;523.9
191;492.7
192;501.4
193;594.9
194;612.1
195;545.6
196;520.2
197;586.5
198;546.2
199;615.0
200;474.9
201;650.6
202;573.3
203;442.2
204;572.4
205;469.9
206;495.2
207;399.3
208;561.6
209;557.1
210;483.6
211;538.8
212;576.5
213;497.7
214;634.5
215;626.7
216;613.2
217;433.4
218;545.5
219;559.9
220;537.2
221;385.0
222;489.9
223;569.3
224;575.9
225;592.8
226;646.0
227;613.6
228;646.8
229;570.8
230;490.7
231;566.1
232;527.1
233;391.4
234;648.9
235;512.3
236;608.0
237;479.1
238;504.9
239;520.5
240;625.7
241;638.2
242;590.3
243;579.1
244;598.1
245;583.2
246;682.2
247;465.0
248;394.2
249;553.2
250;539.0
251;603.3
252;427.1
253;546.6
254;427.0
255;450.6
256;602.0
257;574.3
258;497.6
259;552.5
260;482.5
261;498.8
262;547.8
263;431.3
264;552.5
265;502.0
266;543.8
267;552.5
268;490.7
269;471.7
270;552.2
271;410.0
272;530.9
273;616.2
274;470.5
275;562.6
276;536.5
277;574.5
278;575.5
279;564.1
280;580.5
281;480.9
282;547.5
283;556.1
284;600.0
285;393.8
286;612.8
287;536.8
288;527.4
289;487.2
290;389.7
291;497.9
292;431.7
293;632.8
294;409.2
295;583.8
296;579.6
297;472.8
298;520.6
299;657.7
300;634.4
301;518.1
302;572.1
303;606.8
304;510.2
305;518.4
306;512.7
307;642.4
308;461.5
309;609.2
310;631.8
311;595.7
312;450.8
313;483.1
314;681.4
315;617.2
316;518.7
317;441.9
318;377.8
319;635.8
320;382.7
321;595.1
322;649.6
323;590.2
324;549.5
325;466.8
326;614.3
327;565.7
328;464.5
329;508.7
330;511.5
331;607.2
332;598.9
333;563.0
334;470.6
335;424.7
336;545.4
337;559.8
338;466.1
339;415.0
340;576.6
341;551.9
342;448.0
343;462.2
344;443.1
345;547.1
346;526.0
347;621.5
348;600.4
349;637.7
350;546.7
351;572.9
352;578.4
353;596.2
354;561.5
355;587.4
356;472.3
357;522.9
358;600.5
359;623.5
360;482.2
361;546.5
362;604.5
363;543.2
364;541.7
365;523.6
366;544.1
367;619.7
368;390.1
369;511.0
370;414.8
371;542.4
372;454.3
373;503.9
374;412.6
375;534.2
376;459.5
377;534.0
378;488.3
379;618.2
380;467.0
381;511.3
382;330.4
383;459.1
384;551.0
385;633.5
386;480.3
387;680.3
388;597.0
389;400.8
390;499.2
391;439.7
392;526.3
393;397.7
394;575.1
395;433.6
396;628.3
397;462.0
398;584.6
399;623.8
400;366.4
401;541.0
402;453.1
403;549.2
404;579.3
405;473.2
406;485.9
407;468.7
408;700.4
409;394.4
410;548.8
411;642.0
412;593.3
413;565.9
414;559.5
415;606.7
416;562.8
417;637.8
418;458.5
419;390.1
420;437.4
421;508.1
422;420.6
423;504.1
424;577.1
425;622.4
426;611.0
427;557.5
428;551.9
429;500.5
430;561.8
431;478.5
432;459.8
433;448.0
434;448.2
435;497.3
436;532.0
437;597.1
438;593.3
439;549.5
440;480.8
441;488.6
442;543.7
443;442.3
444;579.3
445;580.1
446;492.3
447;566.7
448;432.2
449;514.8
450;409.0
451;510.5
452;348.9
453;471.2
454;607.8
455;373.4
456;443.3
457;625.6
458;576.9
459;531.8
460;532.6
461;529.7
462;451.2
463;482.4
464;544.0
465;520.0
466;485.8
467;521.7
468;439.1
469;514.0
470;578.1
471;495.2
472;602.9
473;597.5
474;568.5
475;519.0
476;538.4
477;482.8
